,file,type
0,/content/CNN_cancer/DataSet/100x/benigno/SOB_B_F-14-23060AB-100-002.png,benigno
1,/content/CNN_cancer/DataSet/100x/benigno/SOB_B_TA-14-21978AB-100-006.png,benigno
2,/content/CNN_cancer/DataSet/100x/maligno/SOB_M_MC-14-18842-100-010.png,maligno
3,/content/CNN_cancer/DataSet/100x/maligno/SOB_M_DC-14-13993-100-039.png,maligno
4,/content/CNN_cancer/DataSet/100x/maligno/SOB_M_MC-14-19979-100-015.png,maligno
5,/content/CNN_cancer/DataSet/100x/benigno/SOB_B_A-14-29960CD-100-005.png,benigno
6,/content/CNN_cancer/DataSet/100x/maligno/SOB_M_DC-14-9461-100-014.png,maligno
7,/content/CNN_cancer/DataSet/100x/maligno/SOB_M_DC-14-2985-100-009.png,maligno
8,/content/CNN_cancer/DataSet/100x/maligno/SOB_M_DC-14-5694-100-004.png,maligno
9,/content/CNN_cancer/DataSet/100x/maligno/SOB_M_DC-14-13412-100-023.png,maligno
10,/content/CNN_cancer/DataSet/100x/benigno/SOB_B_F-14-21998CD-100-019.png,benigno
11,/content/CNN_cancer/DataSet/100x/maligno/SOB_M_LC-14-13412-100-021.png,maligno
12,/content/CNN_cancer/DataSet/100x/benigno/SOB_B_TA-14-16184CD-100-015.png,benigno
13,/content/CNN_cancer/DataSet/100x/benigno/SOB_B_F-14-21998CD-100-025.png,benigno
14,/content/CNN_cancer/DataSet/100x/maligno/SOB_M_DC-14-9461-100-022.png,maligno
15,/content/CNN_cancer/DataSet/100x/maligno/SOB_M_DC-14-13993-100-001.png,maligno
16,/content/CNN_cancer/DataSet/100x/maligno/SOB_M_MC-14-18842D-100-001.png,maligno
17,/content/CNN_cancer/DataSet/100x/maligno/SOB_M_DC-14-5287-100-010.png,maligno
18,/content/CNN_cancer/DataSet/100x/benigno/SOB_B_F-14-23222AB-100-011.png,benigno
19,/content/CNN_cancer/DataSet/100x/maligno/SOB_M_DC-14-17614-100-016.png,maligno
20,/content/CNN_cancer/DataSet/100x/maligno/SOB_M_DC-14-20636-100-008.png,maligno
21,/content/CNN_cancer/DataSet/100x/maligno/SOB_M_DC-14-15572-100-012.png,maligno
22,/content/CNN_cancer/DataSet/100x/benigno/SOB_B_F-14-14134E-100-006.png,benigno
23,/content/CNN_cancer/DataSet/100x/maligno/SOB_M_DC-14-17901-100-012.png,maligno
24,/content/CNN_cancer/DataSet/100x/maligno/SOB_M_DC-14-14946-100-008.png,maligno
25,/content/CNN_cancer/DataSet/100x/benigno/SOB_B_PT-14-29315EF-100-011.png,benigno
26,/content/CNN_cancer/DataSet/100x/maligno/SOB_M_MC-14-19979-100-021.png,maligno
27,/content/CNN_cancer/DataSet/100x/maligno/SOB_M_DC-14-9461-100-004.png,maligno
28,/content/CNN_cancer/DataSet/100x/benigno/SOB_B_F-14-9133-100-010.png,benigno
29,/content/CNN_cancer/DataSet/100x/benigno/SOB_B_PT-14-21998AB-100-026.png,benigno
30,/content/CNN_cancer/DataSet/100x/maligno/SOB_M_DC-14-11520-100-025.png,maligno
31,/content/CNN_cancer/DataSet/100x/maligno/SOB_M_MC-14-19979C-100-005.png,maligno
32,/content/CNN_cancer/DataSet/100x/maligno/SOB_M_MC-14-16456-100-069.png,maligno
33,/content/CNN_cancer/DataSet/100x/benigno/SOB_B_PT-14-21998AB-100-032.png,benigno
34,/content/CNN_cancer/DataSet/100x/maligno/SOB_M_DC-14-20629-100-014.png,maligno
35,/content/CNN_cancer/DataSet/100x/maligno/SOB_M_PC-14-9146-100-003.png,maligno
36,/content/CNN_cancer/DataSet/100x/benigno/SOB_B_F-14-21998CD-100-010.png,benigno
37,/content/CNN_cancer/DataSet/100x/benigno/SOB_B_F-14-14134E-100-008.png,benigno
38,/content/CNN_cancer/DataSet/100x/benigno/SOB_B_F-14-14134E-100-017.png,benigno
39,/content/CNN_cancer/DataSet/100x/maligno/SOB_M_DC-14-17915-100-006.png,maligno
40,/content/CNN_cancer/DataSet/100x/maligno/SOB_M_DC-14-16716-100-014.png,maligno
41,/content/CNN_cancer/DataSet/100x/benigno/SOB_B_A-14-22549AB-100-006.png,benigno
42,/content/CNN_cancer/DataSet/100x/maligno/SOB_M_MC-14-13413-100-002.png,maligno
43,/content/CNN_cancer/DataSet/100x/maligno/SOB_M_DC-14-17901-100-011.png,maligno
44,/content/CNN_cancer/DataSet/100x/maligno/SOB_M_MC-14-12773-100-014.png,maligno
45,/content/CNN_cancer/DataSet/100x/benigno/SOB_B_A-14-22549G-100-013.png,benigno
46,/content/CNN_cancer/DataSet/100x/maligno/SOB_M_DC-14-10926-100-001.png,maligno
47,/content/CNN_cancer/DataSet/100x/maligno/SOB_M_DC-14-6241-100-026.png,maligno
48,/content/CNN_cancer/DataSet/100x/benigno/SOB_B_TA-14-16184CD-100-006.png,benigno
49,/content/CNN_cancer/DataSet/100x/maligno/SOB_M_DC-14-17901-100-007.png,maligno
50,/content/CNN_cancer/DataSet/100x/maligno/SOB_M_DC-14-13993-100-033.png,maligno
